m,count
14.966903,1442.0
15.935348999999999,15871.0
16.991837,2735.0
17.960283,1418.0
18.928729999999998,1229.0
23.947044,937.0
27.996909999999996,1084.0
28.965357,2017.0
29.933804,1845.0
31.430494,3465.0
31.958738,1527324.0
32.39894,2098.0
32.927184999999994,15661.0
33.89563,66063.0
36.97705,766.0
39.442190000000004,1501.0
40.410633000000004,1424.0
42.963809999999995,1007.0
43.93226,4829.0
44.988747,911.0
45.957190000000004,748.0
47.894085,7162.0
49.919018,754.0
55.025369999999995,687.0
56.43402,699.0
57.402469999999994,9314.0
58.018753000000004,1573.0
62.860985,10336401.0
63.917473,15790271.0
64.88592,5778548.0
65.85436999999999,967597.0
66.91085,107770.0
67.8793,39947.0
68.84775,9167.0
70.87268,1636.0
78.88438000000001,13969.0
79.85282,7778.0
80.90930999999999,70120.0
81.87775400000001,2540.0
82.93424,20056.0
84.87113000000001,1013.0
90.857895,12400.0
92.88283,8889.0
94.819725,493509.0
95.876205,225225.0
96.84466,330093.0
97.901146,24602.0
98.86959,15200.0
99.838036,1732.0
107.84973000000001,1586.0
108.81818,1262.0
109.874664,3017.0
110.84311000000001,692.0
111.811554,6365.0
112.86804,687891.0
113.83649,2066.0
114.892975,12440258.0
122.81663,2366.0
124.84156999999999,1540.0
126.77846000000001,186008.0
127.834946,4162.0
128.80338999999998,148424.0
129.77184,1999.0
130.82832,10105.0
131.79677,789.0
132.85326,2462.0
138.84001,1026.0
140.77692,795.0
141.74536,608.0
142.80185,1363.0
143.7703,737.0
144.82678,1936.0
146.85172,1720.0
148.87665,528.0
154.77536,619.0
157.76875,86082.0
158.7372,20226.0
159.79369,68007.0
160.76213,14539.0
161.73058,20491.0
162.78706,1682.0
163.75551000000002,1458.0
175.72903,888.0
177.75396999999998,926.0
178.81046,1336.0
185.76566,418.0
189.72748,3657.0
190.78396999999998,8454.0
191.75241,3688.0
192.72086000000002,5335.0
193.77733999999998,1317.0
194.7458,1086.0
209.71268999999998,485.0
220.71777000000003,1346.0
221.68622000000002,438.0
222.7427,1679.0
224.6796,1025.0
226.70452999999998,361.0
253.82102999999998,411.0
255.75793,450.0
257.78287,278.0
318.79498,240.0
469.16832999999997,131.0
633.364,89.0
696.04895,75.0
